map center: 39.563353,-118.586426
station 	lat,long 	x,y
p661 	41.4636,-122.31267	261,272
p663 	41.53194,-122.15292	275,264
p665 	40.45613,-121.52575	332,394
p666 	40.46535,-121.51451	333,393
p670 	40.53991,-121.5772	328,384
p726	37.28053,-118.1467	640,765
p727 	37.27358,-118.46677	611,766
p729 	34.26308,-119.09606	554,1104
p730 	41.3592,-120.82825	396,285
p731 	41.33251,-120.47276	428,288
p740 	33.59819,-116.59597	781,1177
p741 	33.55747,-116.53102	787,1181
p742 	33.49554,-116.60257	781,1188
p744 	32.82938,-115.5084	880,1260
pbl1 	37.853054,-122.418945	251,700
pbl2 	37.853226,-122.419395	251,699
pbpp 	34.50823,-117.92257	660,1077
phlb 	34.92542,-117.69448	681,1031
pin1 	33.61216,-116.45816	794,1175
pin2 	33.61215,-116.45762	794,1175
pkdb 	35.94524,-120.54156	422,917
pkrd 	34.07156,-118.2329	632,1125
plo3 	32.66542,-117.24303	722,1278
pmhs 	33.90263,-118.15369	639,1143
pmob 	33.35724,-116.85955	757,1203
pmtn 	37.83137,-119.05693	557,702
pomm 	35.91991,-120.47844	428,920
potb 	38.20263,-121.93539	295,659
potr 	32.61841,-116.59086	782,1283
ppbf 	33.83573,-117.18209	728,1151
ppt1 	37.18709,-122.38995	254,776
psap 	33.81924,-116.49399	790,1153
psdm 	34.09176,-117.80709	671,1123
ptrb 	37.99618,-123.01872	197,683
ptsg 	41.78274,-124.2552	84,234
pve3 	33.7433,-118.40426	617,1161
pvhs 	33.77945,-118.37216	620,1157
pvrs 	33.77386,-118.32059	624,1158
qhtp 	34.62868,-118.24481	631,1064
quin 	39.97455,-120.94443	385,451
raap 	33.04224,-116.91725	752,1237
ramt 	35.33871,-117.68335	682,985
rbru 	36.75913,-119.82867	487,825
rca2 	34.49998,-119.72	497,1078
rdmt 	34.64394,-116.62469	779,1062
rdom 	37.67707,-118.89794	572,720
rhcl 	34.01905,-118.02617	651,1131
rnch 	35.89999,-120.52483	424,922
roch 	33.61102,-116.60977	780,1175
rock 	34.23567,-118.67643	592,1107
roge 	36.21788,-117.08547	737,886
rstp 	34.87508,-118.19293	636,1036
rsvy 	34.54148,-119.18443	546,1073
rths 	34.08915,-117.35333	712,1123
ryan 	36.31628,-116.65008	776,875
s300 	37.66651,-121.55827	329,721
sacy 	33.74325,-117.89558	663,1161
saob 	36.7653,-121.44719	340,824
sawc 	37.6899,-118.95317	567,718
sbcc 	33.553,-117.66149	684,1182
sbrn 	37.68622,-122.41044	252,719
scia 	34.60745,-117.3883	709,1066
scip 	32.91443,-118.48794	609,1251
scms 	33.44414,-117.63456	687,1194
sdhl 	34.25501,-116.2789	810,1105
sfdm 	34.45981,-118.75451	585,1082
sgdm 	34.20563,-117.8617	666,1110
sghs 	34.08863,-118.10898	643,1123
sgps 	33.91254,-116.69569	772,1142
shin 	40.59168,-120.22504	451,378
shos 	35.97135,-116.29898	808,914
sibe 	34.62426,-116.01558	834,1064
silk 	34.10286,-118.26387	629,1121
sio3 	32.8647,-117.25041	722,1257
sio5 	32.84073,-117.24969	722,1259
skyb 	34.43862,-118.47863	610,1085
slac 	37.41652,-122.20426	271,750
slms 	33.29223,-115.97784	837,1210
snhs 	33.92734,-117.92863	660,1141
sni1 	33.24787,-119.52437	515,1215
sodb 	37.1664,-121.92552	296,778
somt 	34.31994,-119.06433	557,1098
spk1 	34.05934,-118.64616	595,1126
spms 	33.99265,-117.84878	667,1134
srs1 	34.00434,-120.06522	465,1132
suaa 	37.426907,-122.17329	274,748
sutb 	39.20584,-121.8206	306,542
svin 	38.03318,-122.52632	241,679
tabl 	34.38185,-117.67828	683,1091
tblp 	35.91741,-120.36034	439,920
thal 	37.35149,-121.93549	295,757
thcp 	35.15818,-118.41457	616,1005
tibb 	37.89088,-122.4476	249,695
tilc 	37.61889,-118.86285	575,726
tjrn 	34.48347,-120.13256	459,1080
tmap 	33.64125,-116.16046	821,1172
torp 	33.7978,-118.3306	623,1155
tost 	34.24796,-118.83666	577,1106
trak 	33.61794,-117.80343	671,1175
trnd 	41.05389,-124.15087	94,322
troy 	34.8386,-116.53055	787,1040
twms 	33.97245,-117.72552	678,1136
uclp 	34.06912,-118.44191	613,1125
ucsb 	34.41331,-119.84381	486,1087
usc1 	34.02395,-118.28511	627,1130
usgc 	33.03006,-116.08533	828,1239
uslo 	35.3118,-120.66109	411,988
van1 	34.82661,-120.56351	420,1042
van2 	34.82646,-120.56329	420,1042
vcst 	34.8515,-119.48386	518,1039
vdcy 	34.17857,-118.22	633,1113
vimt 	34.12645,-118.51441	607,1119
vnco 	34.27576,-119.23767	541,1102
vncx 	34.29319,-118.48454	609,1101
vndp 	34.55631,-120.61645	415,1072
vnps 	34.50148,-118.12116	642,1078
vtis 	33.71264,-118.29382	627,1164
vyas 	34.03092,-117.99205	654,1129
watc 	37.66433,-118.65389	594,721
wchs 	34.0619,-117.91111	661,1126
wgpp 	35.01085,-118.98369	564,1021
whc1 	33.97988,-118.03117	651,1135
whyt 	33.67449,-117.64346	686,1168
widc 	33.93476,-116.39178	800,1140
wint 	37.65264,-122.14057	276,723
wkpk 	34.5685,-118.74152	586,1070
wlsn 	34.22612,-118.05591	648,1108
wmap 	34.25942,-118.41429	616,1104
wnra 	34.04324,-118.05926	648,1128
womt 	34.66901,-116.93167	751,1059
wrhs 	33.95815,-118.42761	614,1137
wwmt 	33.95531,-116.65386	776,1138
ybhb 	41.73166,-122.71074	225,240
